"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY PRIVATE BANK","01 Feb 2025","14.26","2.22",".6"
"NIFTY PRIVATE BANK","31 Jan 2025","14.24","2.21",".6"
"NIFTY PRIVATE BANK","30 Jan 2025","14.16","2.2",".61"
"NIFTY PRIVATE BANK","29 Jan 2025","14.14","2.2",".61"
"NIFTY PRIVATE BANK","28 Jan 2025","14","2.18",".61"
"NIFTY PRIVATE BANK","27 Jan 2025","13.88","2.15",".62"
"NIFTY PRIVATE BANK","24 Jan 2025","13.95","2.16",".62"
"NIFTY PRIVATE BANK","23 Jan 2025","14.04","2.17",".62"
"NIFTY PRIVATE BANK","22 Jan 2025","14.1","2.18",".61"
"NIFTY PRIVATE BANK","21 Jan 2025","14.04","2.17",".62"
"NIFTY PRIVATE BANK","20 Jan 2025","14.27","2.2",".61"
"NIFTY PRIVATE BANK","17 Jan 2025","13.97","2.15",".62"
"NIFTY PRIVATE BANK","16 Jan 2025","14.29","2.2",".61"
"NIFTY PRIVATE BANK","15 Jan 2025","14.16","2.18",".61"
"NIFTY PRIVATE BANK","14 Jan 2025","14.16","2.18",".61"
"NIFTY PRIVATE BANK","13 Jan 2025","14","2.15",".62"
"NIFTY PRIVATE BANK","10 Jan 2025","14.12","2.17",".62"
"NIFTY PRIVATE BANK","09 Jan 2025","14.37","2.21",".6"
"NIFTY PRIVATE BANK","08 Jan 2025","14.44","2.22",".6"
"NIFTY PRIVATE BANK","07 Jan 2025","14.51","2.23",".6"
"NIFTY PRIVATE BANK","06 Jan 2025","14.45","2.22",".6"
"NIFTY PRIVATE BANK","03 Jan 2025","14.76","2.27",".59"
"NIFTY PRIVATE BANK","02 Jan 2025","14.9","2.29",".58"
"NIFTY PRIVATE BANK","01 Jan 2025","14.69","2.26",".59"
"NIFTY PRIVATE BANK","31 Dec 2024","14.62","2.25",".59"
"NIFTY PRIVATE BANK","30 Dec 2024","14.83","2.29",".6"
"NIFTY PRIVATE BANK","27 Dec 2024","14.92","2.31",".6"
"NIFTY PRIVATE BANK","26 Dec 2024","14.85","2.3",".6"
"NIFTY PRIVATE BANK","24 Dec 2024","14.87","2.3",".6"
"NIFTY PRIVATE BANK","23 Dec 2024","14.87","2.3",".6"
"NIFTY PRIVATE BANK","20 Dec 2024","14.74","2.28",".61"
"NIFTY PRIVATE BANK","19 Dec 2024","15","2.32",".6"
"NIFTY PRIVATE BANK","18 Dec 2024","15.17","2.35",".59"
"NIFTY PRIVATE BANK","17 Dec 2024","15.34","2.37",".58"
"NIFTY PRIVATE BANK","16 Dec 2024","15.55","2.41",".58"
"NIFTY PRIVATE BANK","13 Dec 2024","15.54","2.41",".58"
"NIFTY PRIVATE BANK","12 Dec 2024","15.42","2.39",".58"
"NIFTY PRIVATE BANK","11 Dec 2024","15.48","2.4",".58"
"NIFTY PRIVATE BANK","10 Dec 2024","15.52","2.4",".58"
"NIFTY PRIVATE BANK","09 Dec 2024","15.5","2.4",".58"
"NIFTY PRIVATE BANK","06 Dec 2024","15.54","2.41",".58"
"NIFTY PRIVATE BANK","05 Dec 2024","15.54","2.41",".58"
"NIFTY PRIVATE BANK","04 Dec 2024","15.44","2.39",".58"
"NIFTY PRIVATE BANK","03 Dec 2024","15.3","2.37",".58"
"NIFTY PRIVATE BANK","02 Dec 2024","15.17","2.35",".59"
"NIFTY PRIVATE BANK","29 Nov 2024","15.17","2.35",".59"
"NIFTY PRIVATE BANK","28 Nov 2024","15.11","2.34",".59"
"NIFTY PRIVATE BANK","27 Nov 2024","15.28","2.37",".59"
"NIFTY PRIVATE BANK","26 Nov 2024","15.25","2.36",".59"
"NIFTY PRIVATE BANK","25 Nov 2024","15.26","2.36",".59"
"NIFTY PRIVATE BANK","22 Nov 2024","15.02","2.32",".6"
"NIFTY PRIVATE BANK","21 Nov 2024","14.86","2.3",".6"
"NIFTY PRIVATE BANK","19 Nov 2024","14.85","2.3",".6"
"NIFTY PRIVATE BANK","18 Nov 2024","14.76","2.28",".61"
"NIFTY PRIVATE BANK","14 Nov 2024","14.74","2.28",".61"
"NIFTY PRIVATE BANK","13 Nov 2024","14.69","2.27",".61"
"NIFTY PRIVATE BANK","12 Nov 2024","14.99","2.32",".6"
"NIFTY PRIVATE BANK","11 Nov 2024","15.16","2.35",".59"
"NIFTY PRIVATE BANK","08 Nov 2024","15.08","2.33",".59"
"NIFTY PRIVATE BANK","07 Nov 2024","15.13","2.34",".59"
"NIFTY PRIVATE BANK","06 Nov 2024","15.27","2.36",".59"
"NIFTY PRIVATE BANK","05 Nov 2024","15.27","2.36",".59"
"NIFTY PRIVATE BANK","04 Nov 2024","14.98","2.32",".6"
"NIFTY PRIVATE BANK","01 Nov 2024","15.18","2.35",".59"
"NIFTY PRIVATE BANK","31 Oct 2024","15.1","2.34",".59"
"NIFTY PRIVATE BANK","30 Oct 2024","15.37","2.35",".59"
"NIFTY PRIVATE BANK","29 Oct 2024","15.51","2.37",".58"
"NIFTY PRIVATE BANK","28 Oct 2024","15.2","2.34",".59"
"NIFTY PRIVATE BANK","25 Oct 2024","15.01","2.33",".59"
"NIFTY PRIVATE BANK","24 Oct 2024","15.2","2.36",".59"
"NIFTY PRIVATE BANK","23 Oct 2024","15.14","2.35",".59"
"NIFTY PRIVATE BANK","22 Oct 2024","15.18","2.36",".59"
"NIFTY PRIVATE BANK","21 Oct 2024","15.44","2.38",".58"
"NIFTY PRIVATE BANK","18 Oct 2024","15.77","2.41",".58"
"NIFTY PRIVATE BANK","17 Oct 2024","15.48","2.36",".59"
"NIFTY PRIVATE BANK","16 Oct 2024","15.65","2.39",".58"
"NIFTY PRIVATE BANK","15 Oct 2024","15.72","2.4",".58"
"NIFTY PRIVATE BANK","14 Oct 2024","15.73","2.4",".58"
"NIFTY PRIVATE BANK","11 Oct 2024","15.56","2.38",".58"
"NIFTY PRIVATE BANK","10 Oct 2024","15.64","2.39",".58"
"NIFTY PRIVATE BANK","09 Oct 2024","15.37","2.37",".6"
"NIFTY PRIVATE BANK","08 Oct 2024","15.37","2.37",".6"
"NIFTY PRIVATE BANK","07 Oct 2024","15.22","2.34",".6"
"NIFTY PRIVATE BANK","04 Oct 2024","15.5","2.39",".59"
"NIFTY PRIVATE BANK","03 Oct 2024","15.62","2.4",".59"
"NIFTY PRIVATE BANK","01 Oct 2024","16.04","2.47",".57"
"NIFTY PRIVATE BANK","30 Sep 2024","16.06","2.47",".57"
"NIFTY PRIVATE BANK","27 Sep 2024","16.32","2.42",".7"
"NIFTY PRIVATE BANK","26 Sep 2024","16.49","2.44",".69"
"NIFTY PRIVATE BANK","25 Sep 2024","16.42","2.43",".7"
