date,close,eps,pe,book-value,pb,div-yield %
2025-01-31,49587.2,3770.89,13.15,22746.42,2.18,1.01
2024-12-31,50860.2,3717.85,13.68,22705.45,2.24,.98
2024-11-29,52055.6,3671.06,14.18,22341.46,2.33,.95
2024-10-31,51475.35,3640.41,14.14,22283.7,2.31,.96
2024-09-30,52978.1,3569.95,14.84,22166.57,2.39,.95
2024-08-30,51351.0,3446.38,14.9,18017.89,2.85,.92
2024-07-31,51553.4,3434.6,15.01,18025.66,2.86,.88
2024-06-28,52342.25,3277.54,15.97,17389.45,3.01,.91
2024-05-31,48983.95,3272.14,14.97,16949.46,2.89,.88
2024-04-30,49396.75,3249.79,15.2,16974.83,2.91,.74
2024-03-28,47124.6,2975.04,15.84,16710.85,2.82,0.78
2024-02-29,46120.9,3012.47,15.31,16894.1,2.73,0.80
2024-01-31,45996.8,3036.09,15.15,16910.59,2.72,0.80
2023-12-29,48292.25,2909.17,16.6,16885.4,2.86,0.76
2023-11-30,44481.75,2916.84,15.25,16913.21,2.63,0.83
2023-10-31,42845.95,2895.0,14.8,17207.21,2.49,0.87
2023-09-29,44584.55,2720.23,16.39,17147.9,2.6,0.83
2023-08-31,43989.15,2754.49,15.97,16172.48,2.72,0.85
2023-07-31,45651.1,2628.16,17.37,14400.98,3.17,0.76
2023-06-30,44747.35,2661.95,16.81,15117.35,2.96,0.88
2023-05-31,44128.15,2680.93,16.46,15429.42,2.86,0.78
2023-04-28,43233.9,2690.35,16.07,15385.73,2.81,0.66
2023-03-31,40608.65,2609.81,15.56,15440.55,2.63,0.71
2023-02-28,40269.05,2578.04,15.62,15195.87,2.65,0.71
2023-01-31,40655.05,2508.02,16.21,15169.79,2.68,0.70
2022-12-30,42986.45,2377.57,18.08,15189.56,2.83,0.66
2022-11-30,43231.0,2393.74,18.06,15168.77,2.85,0.65
2022-10-31,41307.9,2285.99,18.07,15186.73,2.72,0.68
2022-09-30,38631.95,2149.8,17.97,15149.78,2.55,0.73
2022-08-30,39536.75,2172.35,18.2,15444.04,2.56,0.71
2022-07-29,37491.4,2155.92,17.39,14760.39,2.54,0.59
2022-06-30,33425.1,2007.51,16.65,13587.44,2.46,0.69
2022-05-31,35487.4,1994.79,17.79,13442.2,2.64,0.81
2022-04-29,36088.15,1847.83,19.53,13415.67,2.69,0.33
2022-03-31,36373.6,1773.46,20.51,13421.99,2.71,0.33
2022-02-28,36205.3,1742.31,20.78,13509.44,2.68,0.33
2022-01-31,37975.35,1689.29,22.48,13514.36,2.81,0.32
2021-12-31,35481.7,1588.97,22.33,13542.63,2.62,0.34
2021-11-30,35695.3,1618.83,22.05,13319.14,2.68,0.35
2021-10-29,39115.6,1625.75,24.06,13304.63,2.94,0.32
2021-09-30,37425.1,1538.86,24.32,13318.54,2.81,0.33
2021-08-31,36424.6,1525.96,23.87,13149.68,2.77,0.34
2021-07-30,34584.35,1532.32,22.57,12134.86,2.85,0.33
2021-06-30,34772.2,1464.09,23.75,11590.73,3.0,0.24
2021-05-31,35526.65,1455.41,24.41,10998.96,3.23,-
2021-04-30,32781.8,1355.74,24.18,11000.6,2.98,-
2021-03-31,33303.9,1287.36,25.87,10991.39,3.03,-
2021-02-26,34803.6,1082.54,32.15,12001.24,2.9,0.36
2021-01-29,30565.5,1055.8,28.95,11986.47,2.55,0.41
2020-12-31,31264.05,1039.02,30.09,11932.84,2.62,0.40
2020-11-27,29609.05,1055.58,28.05,12036.2,2.46,0.43
2020-10-30,23900.9,971.58,24.6,11950.45,2.0,0.53
2020-09-30,21451.8,903.99,23.73,11917.67,1.8,0.59
2020-08-31,23754.35,910.13,26.1,12058.05,1.97,0.51
2020-07-31,21640.05,915.79,23.63,12089.41,1.79,0.59
2020-06-30,21370.15,931.16,22.95,11130.29,1.92,0.42
2020-05-29,19297.25,870.42,22.17,10720.69,1.8,0.50
2020-04-30,21534.5,871.49,24.71,10713.68,2.01,0.45
2020-03-31,19144.0,925.73,20.68,10694.97,1.79,0.51
2020-02-28,29147.15,873.19,33.38,10715.86,2.72,0.39
2020-01-31,30833.6,857.92,35.94,10706.11,2.88,0.37
2019-12-31,32161.65,788.28,40.8,9600.49,3.35,0.31
2019-11-29,31946.1,784.15,40.74,9536.15,3.35,0.30
2019-10-31,30066.25,744.03,40.41,9544.84,3.15,0.32
