date,close,eps,pe,bv,pb,div-yield %
2025-06-30,25517.05,1110.89,22.97,6896.5,3.7,1.24
2025-05-30,24750.7,1108.9,22.32,6837.21,3.62,1.25
2025-04-30,24334.2,1109.12,21.94,6759.5,3.6,1.29
2025-03-28,23519.35,1100.58,21.37,6758.43,3.48,1.32
2025-02-28,22124.7,1124.79,19.67,6724.83,3.29,1.45
2025-01-31,23508.4,1102.13,21.33,6697.55,3.51,1.38
2024-12-31,23644.8,1085.12,21.79,6698.24,3.53,1.27
2024-11-29,24131.1,1086.5,22.21,6703.08,3.6,1.27
2024-10-31,24205.35,1071.98,22.58,6668.14,3.63,1.27
2024-09-30,25810.85,1063.93,24.26,6669.47,3.87,1.16
2024-08-30,25235.9,1075.24,23.47,5923.92,4.26,1.21
2024-07-31,24951.15,1066.29,23.4,5926.64,4.21,1.19
2024-06-28,24010.6,1050.79,22.85,5799.66,4.14,1.25
2024-05-31,22530.7,1052.84,21.4,5703.97,3.95,1.28
2024-04-30,22604.85,1027.49,22.0,5708.3,3.96,1.16
2024-03-28,22326.9,975.83,22.88,5666.73,3.94,1.2
2024-02-29,21982.8,968.41,22.7,5680.31,3.87,1.22
2024-01-31,21725.7,967.31,22.46,5672.51,3.83,1.23
2023-12-29,21731.4,937.91,23.17,5673.99,3.83,1.28
2023-11-30,20133.15,935.56,21.52,5703.44,3.53,1.35
2023-10-31,19079.6,932.99,20.45,5695.4,3.35,1.41
2023-09-29,19638.3,884.21,22.21,5692.26,3.45,1.37
2023-08-31,19253.8,876.37,21.97,4375.86,4.4,1.38
2023-07-31,19753.8,858.49,23.01,4089.81,4.83,1.28
2023-06-30,19189.05,858.19,22.36,4264.23,4.5,1.41
2023-05-31,18534.4,858.47,21.59,4280.46,4.33,1.36
2023-04-28,18065.0,865.6,20.87,4270.69,4.23,1.38
2023-03-31,17359.75,849.3,20.44,4275.8,4.06,1.44
2023-02-28,17303.95,848.65,20.39,4272.58,4.05,1.44
2023-01-31,17662.15,852.01,20.73,4266.22,4.14,1.39
2022-12-30,18105.3,830.9,21.79,4260.07,4.25,1.27
2022-11-30,18758.35,832.22,22.54,4263.26,4.4,1.28
2022-10-31,18012.2,840.91,21.42,4258.2,4.23,1.25
2022-09-30,17094.35,828.21,20.64,4252.33,4.02,1.32
2022-08-30,17759.3,837.7,21.2,4310.51,4.12,1.41
2022-07-29,17158.25,827.7,20.73,4164.62,4.12,1.29
2022-06-30,15780.25,809.24,19.5,3915.69,4.03,1.41
2022-05-31,16584.55,811.38,20.44,3911.45,4.24,1.43
2022-04-29,17102.55,777.04,22.01,3913.63,4.37,1.16
2022-03-31,17464.75,761.99,22.92,3915.86,4.46,1.13
2022-02-28,16793.9,777.86,21.59,3970.19,4.23,1.26
2022-01-31,17339.85,740.39,23.42,3967.93,4.37,1.2
2021-12-31,17354.05,719.79,24.11,3971.18,4.37,1.19
2021-11-30,16983.2,724.85,23.43,3996.05,4.25,1.19
2021-10-29,17671.65,687.35,25.71,3989.09,4.43,1.13
2021-09-30,17618.15,653.01,26.98,3995.05,4.41,1.17
2021-08-31,17132.2,652.66,26.25,3956.63,4.33,1.05
2021-07-30,15763.05,583.6,27.01,3825.98,4.12,1.18
