date,close,eps,pe,bv,pb,div-yield %
2025-06-30,28254.6,1564.49,18.06,11212.14,2.52,0.46
2025-05-30,27576.65,1566.86,17.6,11490.27,2.4,0.33
2025-04-30,27450.3,1672.78,16.41,11485.48,2.39,0.55
2025-03-28,25733.35,1669.91,15.41,11488.1,2.24,0.58
2025-02-28,24225.15,1683.47,14.39,11011.43,2.2,0.61
2025-01-31,24386.0,1712.5,14.24,11034.39,2.21,0.6
2024-12-31,24780.0,1694.94,14.62,11013.33,2.25,.59
2024-11-29,25327.95,1669.61,15.17,10777.85,2.35,.59
2024-10-31,25220.45,1670.23,15.1,10777.97,2.34,.59
2024-09-30,26501.85,1650.18,16.06,10729.49,2.47,.57
2024-08-30,25687.75,1651.95,15.55,8981.73,2.86,.74
2024-07-31,25712.1,1652.45,15.56,8958.92,2.87,.7
2024-06-28,26075.5,1578.42,16.52,8779.63,2.97,.67
2024-05-31,24224.1,1578.12,15.35,8808.76,2.75,.71
2024-04-30,24535.95,1585.01,15.48,8794.25,2.79,.61
2024-03-28,23555.85,1434.58,16.42,8122.71,2.9,0.63
2024-02-29,23104.7,1424.46,16.22,8106.91,2.85,0.64
2024-01-31,23594.45,1416.23,16.66,8108.06,2.91,0.63
2023-12-29,24875.65,1348.27,18.45,8102.82,3.07,0.60
2023-11-30,23136.8,1360.99,17.0,8175.55,2.83,0.65
2023-10-31,22235.25,1360.79,16.34,9752.3,2.28,0.68
2023-09-29,23101.9,1256.9,18.38,9788.94,2.36,0.65
2023-08-31,22921.85,1279.84,17.91,8365.64,2.74,0.65
2023-07-31,23411.1,1275.11,18.36,7432.1,3.15,0.54
2023-06-30,22923.15,1274.22,17.99,7904.53,2.9,0.70
2023-05-31,22470.7,1284.04,17.5,8025.25,2.8,0.60
2023-04-28,21885.75,1351.81,16.19,8016.76,2.73,0.56
2023-03-31,20618.1,1305.77,15.79,8053.95,2.56,0.59
2023-02-28,20587.0,1293.15,15.92,7918.08,2.6,0.60
2023-01-31,20731.35,1292.48,16.04,7912.73,2.62,0.59
2022-12-30,21862.0,1206.51,18.12,7921.01,2.76,0.56
2022-11-30,22018.6,1206.5,18.25,7891.97,2.79,0.55
2022-10-31,21193.9,1143.14,18.54,7878.77,2.69,0.57
2022-09-30,19932.45,1047.42,19.03,7878.44,2.53,0.61
2022-08-30,20320.5,1060.02,19.17,8000.2,2.54,0.59
2022-07-29,19045.7,1037.35,18.36,7527.94,2.53,0.42
2022-06-30,16720.95,915.21,18.27,7055.25,2.37,0.49
2022-05-31,18112.4,910.63,19.89,6939.62,2.61,0.58
2022-04-29,18326.3,833.77,21.98,6941.78,2.64,0.30
2022-03-31,18420.8,797.44,23.1,6925.11,2.66,0.29
2022-02-28,18397.85,803.05,22.91,7022.08,2.62,0.29
2022-01-31,19037.15,781.17,24.37,7024.78,2.71,0.28
2021-12-31,18041.85,727.2,24.81,7020.18,2.57,0.30
2021-11-30,18213.85,726.81,25.06,6821.67,2.67,0.29
2021-10-29,20192.2,787.53,25.64,6821.69,2.96,0.26
2021-09-30,19447.95,733.06,26.53,6823.84,2.85,0.27
2021-08-31,18837.65,653.4,28.83,7028.97,2.68,0.28
2021-07-30,17975.85,688.99,26.09,6114.23,2.94,0.23
2021-06-30,18293.5,643.23,28.44,5901.13,3.1,0.11
2021-05-31,18694.9,643.76,29.04,5648.01,3.31,-
2021-04-30,17582.45,575.91,30.53,5635.4,3.12,-
2021-03-31,17763.85,537.65,33.04,5639.32,3.15,-
2021-02-26,18551.75,531.11,34.93,5621.74,3.3,0.45
2021-01-29,16694.3,512.72,32.56,5620.98,2.97,0.51
2020-12-31,17251.75,512.83,33.64,5601.22,3.08,0.48
2020-11-27,16473.1,520.48,31.65,5641.47,2.92,0.52
2020-10-30,13258.0,491.4,26.98,5641.7,2.35,0.64
2020-09-30,11816.65,457.83,25.81,5626.98,2.1,0.71
2020-08-31,13052.25,468.16,27.88,5699.67,2.29,0.64
2020-07-31,11874.75,467.33,25.41,5820.96,2.04,0.72
2020-06-30,11721.25,493.32,23.76,5209.44,2.25,0.54
2020-05-29,10583.15,501.1,21.12,5015.71,2.11,0.62
2020-04-30,11743.45,502.93,23.35,5018.57,2.34,0.56
2020-03-31,10173.7,536.3,18.97,5036.49,2.02,0.64
2020-02-28,15953.6,478.51,33.34,5389.73,2.96,0.49
2020-01-31,16936.35,479.24,35.34,5393.74,3.14,0.46
2019-12-31,17767.6,430.1,41.31,4639.06,3.83,0.38
2019-11-29,17641.45,432.6,40.78,4535.08,3.89,0.37
2019-10-31,16561.0,433.76,38.18,4524.86,3.66,0.39
2019-09-30,16252.3,434.67,37.39,4539.75,3.58,0.40
2019-08-30,15309.2,429.91,35.61,4542.79,3.37,0.44
2019-07-31,15917.05,429.96,37.02,4534.77,3.51,0.42
2019-06-28,17197.0,446.21,38.54,4525.53,3.8,0.49
2019-05-31,17522.2,424.06,41.32,4337.18,4.04,0.47
2019-04-30,16807.4,424.0,39.64,4331.8,3.88,0.49
2019-03-29,17315.55,424.09,40.83,4328.89,4.0,0.47
2019-02-28,15291.35,396.46,38.57,4484.27,3.41,0.53
2019-01-31,15495.1,396.5,39.08,4491.33,3.45,0.52
2018-12-31,15292.0,396.99,38.52,4497.65,3.4,0.53
2018-11-30,15154.45,397.34,38.14,4510.25,3.36,0.53
2018-10-31,14206.65,397.28,35.76,4510.05,3.15,0.57
2018-09-28,14151.05,397.28,35.62,4506.7,3.14,0.57
2018-08-31,15933.2,404.09,39.43,4552.34,3.5,0.51
2018-07-31,15613.45,436.25,35.79,4499.55,3.47,0.50
2018-06-29,14961.75,443.18,33.76,4493.02,3.33,0.53
2018-05-31,15255.25,445.8,34.22,4297.25,3.55,0.51
2018-04-30,14593.35,480.52,30.37,4242.25,3.44,0.53
2018-03-28,13687.9,481.8,28.41,4211.66,3.25,0.56
2018-02-28,14210.05,481.86,29.49,4216.63,3.37,0.12
2018-01-31,15309.25,495.28,30.91,4217.42,3.63,0.10
2017-12-29,14139.65,481.27,29.38,4271.8,3.31,0.12
2017-11-30,13927.55,483.6,28.8,4311.93,3.23,0.12
2017-10-31,13809.6,501.44,27.54,4302.06,3.21,0.13
2017-09-29,13568.9,489.15,27.74,4293.96,3.16,0.13
2017-08-31,13636.65,501.53,27.19,4427.48,3.08,0.13
2017-07-31,13927.5,497.23,28.01,4379.72,3.18,0.16
2017-06-30,12990.75,501.77,25.89,4190.56,3.1,0.20
2017-05-31,13034.2,466.01,27.97,3985.99,3.27,0.61
2017-04-28,12308.85,473.42,26.0,3822.62,3.22,0.70
2017-03-31,11803.15,476.51,24.77,3857.24,3.06,0.74
2017-02-28,11420.75,474.28,24.08,3806.92,3.0,0.77
2017-01-31,10817.8,483.8,22.36,3782.45,2.86,0.81
2016-12-30,10042.8,491.09,20.45,3789.74,2.65,0.87
2016-11-30,10290.65,491.2,20.95,3783.33,2.72,0.85
2016-10-30,10937.85,484.19,22.59,3824.42,2.86,0.81
