Date,P/E,P/B,Div Yield %,Close,EPS
29-Dec-23,23.17,3.81,1.28,21731.4,937.91
28-Dec-23,23.27,3.82,1.27,21778.7,935.91
27-Dec-23,23.14,3.8,1.28,21654.75,935.81
26-Dec-23,22.91,3.76,1.29,21441.35,935.89
22-Dec-23,22.81,3.74,1.3,21349.4,935.97
21-Dec-23,22.71,3.73,1.3,21255.05,935.93
20-Dec-23,22.6,3.71,1.31,21150.15,935.85
19-Dec-23,22.92,3.76,1.29,21453.1,936
18-Dec-23,22.88,3.76,1.29,21418.65,936.13
15-Dec-23,22.92,3.76,1.29,21456.65,936.15
14-Dec-23,22.63,3.71,1.31,21182.7,936.05
13-Dec-23,22.36,3.67,1.32,20926.35,935.88
12-Dec-23,22.34,3.67,1.33,20906.4,935.83
11-Dec-23,22.44,3.68,1.3,20997.1,935.7
8-Dec-23,22.41,3.68,1.3,20969.4,935.72
7-Dec-23,22.34,3.67,1.3,20901.15,935.59
6-Dec-23,22.38,3.67,1.3,20937.7,935.55
5-Dec-23,22.29,3.66,1.31,20855.1,935.63
4-Dec-23,22.11,3.63,1.32,20686.8,935.63
1-Dec-23,21.66,3.55,1.34,20267.9,935.73
30-Nov-23,21.52,3.53,1.35,20133.15,935.56
29-Nov-23,21.48,3.52,1.36,20096.6,935.6
28-Nov-23,21.26,3.49,1.37,19889.7,935.55
24-Nov-23,21.15,3.47,1.38,19794.7,935.92
23-Nov-23,21.16,3.47,1.38,19802,935.822
22-Nov-23,21.17,3.47,1.38,19811.85,935.846
21-Nov-23,21.14,3.47,1.38,19783.4,935.828
20-Nov-23,21.06,3.46,1.35,19694,935.138
17-Nov-23,21.1,3.46,1.34,19731.8,935.156
16-Nov-23,21.13,3.47,1.34,19765.2,935.409
15-Nov-23,21.05,3.45,1.33,19675.45,934.701
13-Nov-23,20.96,3.41,1.4,19443.55,927.65
12-Nov-23,21.05,3.43,1.4,19525.55,927.58
10-Nov-23,20.95,3.41,1.4,19425.35,927.224
9-Nov-23,20.91,3.4,1.41,19395.3,927.561
8-Nov-23,20.97,3.41,1.42,19443.5,927.206
7-Nov-23,20.92,3.41,1.42,19406.7,927.663
6-Nov-23,20.96,3.41,1.42,19411.75,926.133
3-Nov-23,20.88,3.37,1.43,19230.6,921.006
2-Nov-23,20.77,3.36,1.42,19133.25,921.196
1-Nov-23,20.4,3.33,1.41,18989.15,930.841
31-Oct-23,20.45,3.35,1.41,19079.6,932.988
30-Oct-23,20.9,3.36,1.41,19140.9,915.833
27-Oct-23,20.84,3.34,1.42,19047.25,913.976
26-Oct-23,20.63,3.31,1.51,18857.25,914.069
25-Oct-23,20.92,3.36,1.48,19122.15,914.061
23-Oct-23,21.36,3.38,1.4,19281.75,902.704
20-Oct-23,21.68,3.43,1.38,19542.65,901.414
19-Oct-23,21.77,3.44,1.36,19624.7,901.456
18-Oct-23,21.87,3.45,1.36,19671.1,899.456
17-Oct-23,22.38,3.48,1.35,19811.5,885.232
16-Oct-23,22.29,3.46,1.36,19731.75,885.229
13-Oct-23,22.33,3.47,1.36,19751.05,884.507
12-Oct-23,22.39,3.47,1.36,19794,884.055
11-Oct-23,22.41,3.48,1.36,19811.35,884.041
10-Oct-23,22.27,3.46,1.36,19689.85,884.142
9-Oct-23,22.07,3.42,1.38,19512.35,884.112
6-Oct-23,22.23,3.45,1.37,19653.5,884.098
5-Oct-23,22.11,3.43,1.37,19545.75,884.023
4-Oct-23,21.98,3.41,1.38,19436.1,884.263
3-Oct-23,22.09,3.43,1.38,19528.75,884.054
29-Sep-23,22.21,3.45,1.37,19638.3,884.21
28-Sep-23,22.05,4.31,1.38,19523.55,885.422
27-Sep-23,22.27,4.36,1.36,19716.45,885.337
26-Sep-23,22.21,4.35,1.37,19664.7,885.398
25-Sep-23,22.22,4.36,1.37,19674.55,885.443
22-Sep-23,22.22,4.36,1.37,19674.25,885.43
21-Sep-23,22.3,4.37,1.36,19742.35,885.307
20-Sep-23,22.48,4.41,1.35,19901.4,885.294
18-Sep-23,22.74,4.46,1.34,20133.3,885.369
15-Sep-23,22.81,4.47,1.33,20192.35,885.241
14-Sep-23,22.71,4.47,1.34,20103.1,885.209
13-Sep-23,22.67,4.46,1.34,20070,885.311
12-Sep-23,22.58,4.44,1.35,19993.2,885.438
11-Sep-23,22.59,4.46,1.35,19996.35,885.186
8-Sep-23,22.39,4.43,1.36,19819.95,885.214
7-Sep-23,22.28,4.41,1.36,19727.05,885.415
6-Sep-23,22.37,4.43,1.36,19611.05,876.667
5-Sep-23,22.33,4.46,1.36,19574.9,876.619
4-Sep-23,22.28,4.46,1.36,19528.8,876.517
1-Sep-23,22.17,4.44,1.37,19435.3,876.649
31-Aug-23,21.97,4.4,1.38,19253.8,876.368
30-Aug-23,22.07,4.42,1.38,19347.45,876.64
29-Aug-23,22.07,4.42,1.38,19342.65,876.423
28-Aug-23,22.03,4.43,1.38,19306.05,876.353
25-Aug-23,21.98,4.44,1.38,19265.8,876.515
24-Aug-23,22.12,4.47,1.37,19386.7,876.433
23-Aug-23,22.19,4.56,1.37,19444,876.251
22-Aug-23,22.13,4.55,1.37,19396.45,876.478
21-Aug-23,22.42,4.66,1.37,19393.6,865.013
18-Aug-23,22.32,4.64,1.36,19310.15,865.15
17-Aug-23,22.39,4.66,1.39,19365.25,864.906
16-Aug-23,22.52,4.68,1.39,19465,864.343
14-Aug-23,22.64,4.7,1.39,19434.55,858.417
11-Aug-23,22.63,4.7,1.38,19428.3,858.52
10-Aug-23,22.77,4.73,1.36,19543.1,858.283
9-Aug-23,22.81,4.75,1.37,19632.55,860.699
8-Aug-23,22.73,4.73,1.31,19570.85,861.014
7-Aug-23,22.83,4.74,1.34,19597.3,858.401
4-Aug-23,22.71,4.72,1.34,19517,859.401
3-Aug-23,22.55,4.69,1.35,19381.65,859.497
2-Aug-23,22.72,4.73,1.33,19526.55,859.443
1-Aug-23,22.96,4.82,1.28,19733.55,859.475
31-Jul-23,23.01,4.83,1.28,19753.8,858.488
28-Jul-23,22.91,4.8,1.29,19646.05,857.532
27-Jul-23,23.83,4.8,1.28,19659.9,825.006
26-Jul-23,23.97,4.83,1.27,19778.3,825.127
25-Jul-23,23.55,4.81,1.28,19680.6,835.694
24-Jul-23,23.83,4.81,1.28,19672.35,825.529
21-Jul-23,23.95,4.82,1.27,19745,824.426
20-Jul-23,24.24,4.88,1.28,19979.15,824.222
19-Jul-23,24.09,4.85,1.27,19833.15,823.294
18-Jul-23,24.18,4.83,1.28,19749.25,816.76
17-Jul-23,24.14,4.82,1.29,19711.45,816.547
14-Jul-23,23.96,4.78,1.3,19564.5,816.548
13-Jul-23,23.81,4.74,1.32,19413.75,815.361
12-Jul-23,22.58,4.54,1.38,19384.3,858.472
11-Jul-23,22.65,4.56,1.38,19439.4,858.252
10-Jul-23,22.55,4.54,1.38,19355.9,858.355
7-Jul-23,22.52,4.53,1.39,19331.8,858.428
6-Jul-23,22.72,4.57,1.37,19497.3,858.156
5-Jul-23,22.6,4.55,1.38,19398.5,858.341
4-Jul-23,22.59,4.54,1.38,19389,858.3
3-Jul-23,22.51,4.53,1.4,19322.55,858.398
30-Jun-23,22.36,4.5,1.41,19189.05,858.186
28-Jun-23,22.08,4.43,1.43,18972.1,859.244
27-Jun-23,21.9,4.4,1.44,18817.4,859.242
26-Jun-23,21.76,4.37,1.45,18691.2,858.971
23-Jun-23,21.73,4.36,1.45,18665.5,858.974
22-Jun-23,21.85,4.39,1.44,18771.25,859.096
21-Jun-23,21.96,4.41,1.4,18856.85,858.691
20-Jun-23,21.91,4.4,1.4,18816.7,858.818
19-Jun-23,21.84,4.38,1.42,18755.45,858.766
16-Jun-23,21.92,4.4,1.39,18826,858.85
15-Jun-23,21.76,4.37,1.39,18688.1,858.828
14-Jun-23,21.84,4.38,1.43,18755.9,858.787
13-Jun-23,21.79,4.37,1.43,18716.15,858.933
12-Jun-23,21.66,4.35,1.44,18601.5,858.795
9-Jun-23,21.62,4.34,1.45,18563.4,858.622
8-Jun-23,21.7,4.36,1.44,18634.55,858.735
7-Jun-23,21.81,4.38,1.43,18726.4,858.615
6-Jun-23,21.66,4.35,1.44,18599,858.68
5-Jun-23,21.65,4.35,1.44,18593.85,858.838
2-Jun-23,21.58,4.33,1.45,18534.1,858.855
1-Jun-23,21.53,4.32,1.36,18487.75,858.697
31-May-23,21.59,4.33,1.36,18534.4,858.472
30-May-23,21.7,4.36,1.44,18633.85,858.703
29-May-23,21.65,4.35,1.34,18598.65,859.06
26-May-23,21.54,4.33,1.34,18499.35,858.837
25-May-23,21.28,4.29,1.43,18321.15,860.956
24-May-23,21.24,4.28,1.49,18285.4,860.895
23-May-23,21.41,4.29,1.49,18348,856.983
22-May-23,21.36,4.29,1.49,18314.4,857.416
19-May-23,21.48,4.26,1.5,18203.4,847.458
18-May-23,21.39,4.24,1.5,18129.95,847.59
17-May-23,21.47,4.26,1.49,18181.75,846.844
16-May-23,21.59,4.28,1.48,18286.5,846.989
15-May-23,21.92,4.31,1.27,18398.85,839.364
12-May-23,21.82,4.29,1.28,18314.8,839.358
11-May-23,21.86,4.28,1.36,18297,837.008
10-May-23,21.88,4.29,1.36,18315.1,837.07
9-May-23,21.77,4.28,1.37,18265.95,839.042
8-May-23,21.77,4.28,1.37,18264.4,838.971
5-May-23,21.62,4.23,1.38,18069,835.754
4-May-23,21.85,4.27,1.37,18255.8,835.506
3-May-23,21.33,4.23,1.38,18089.85,848.094
2-May-23,20.92,4.25,1.38,18147.65,867.478
28-Apr-23,20.87,4.23,1.38,18065,865.597
27-Apr-23,20.7,4.19,1.39,17915.05,865.461
26-Apr-23,20.59,4.17,1.4,17813.6,865.158
25-Apr-23,20.56,4.16,1.41,17769.25,864.263
24-Apr-23,20.74,4.15,1.41,17743.4,855.516
21-Apr-23,20.61,4.13,1.42,17624.05,855.121
20-Apr-23,20.61,4.13,1.42,17624.45,855.141
19-Apr-23,20.6,4.12,1.42,17618.75,855.279
18-Apr-23,20.65,4.13,1.41,17660.15,855.213
17-Apr-23,20.82,4.14,1.41,17706.85,850.473
13-Apr-23,20.99,4.17,1.4,17828,849.357
12-Apr-23,20.97,4.17,1.39,17812.4,849.423
