date,p/e,p/b,div yield %,close,eps
11-Jul-24,23.14,4.19,1.23,24315.95,1050.82
28-Jun-24,22.85,4.14,1.25,24010.6,1050.79
31-May-24,21.4,3.95,1.28,22530.7,1052.84
30-Apr-24,22.0,3.96,1.16,22604.85,1027.49
28-Mar-24,22.88,3.94,1.2,22326.9,975.83
29-Feb-24,22.7,3.87,1.22,21982.8,968.41
31-Jan-24,22.46,3.83,1.23,21725.7,967.31
29-Dec-23,23.17,3.83,1.28,21731.4,937.91
30-Nov-23,21.52,3.53,1.35,20133.15,935.56
31-Oct-23,20.45,3.35,1.41,19079.6,932.988
29-Sep-23,22.21,3.45,1.37,19638.3,884.21
31-Aug-23,21.97,4.4,1.38,19253.8,876.368
31-Jul-23,23.01,4.83,1.28,19753.8,858.488
30-Jun-23,22.36,4.5,1.41,19189.05,858.186
31-May-23,21.59,4.33,1.36,18534.4,858.472
28-Apr-23,20.87,4.23,1.38,18065.0,865.597
31-Mar-23,20.44,4.06,1.44,17359.75,849.303
28-Feb-23,20.39,4.05,1.44,17303.95,848.649
31-Jan-23,20.73,4.14,1.39,17662.15,852.009
30-Dec-22,21.79,4.25,1.27,18105.3,830.899
30-Nov-22,22.54,4.4,1.28,18758.35,832.225
31-Oct-22,21.42,4.23,1.25,18012.2,840.906
30-Sep-22,20.64,4.02,1.32,17094.35,828.215
30-Aug-22,21.2,4.12,1.41,17759.3,837.703
29-Jul-22,20.73,4.12,1.29,17158.25,827.701
30-Jun-22,19.5,4.03,1.41,15780.25,809.244
31-May-22,20.44,4.24,1.43,16584.55,811.377
29-Apr-22,22.01,4.37,1.16,17102.55,777.035
31-Mar-22,22.92,4.46,1.13,17464.75,761.987
28-Feb-22,21.59,4.23,1.26,16793.9,777.855
31-Jan-22,23.42,4.37,1.2,17339.85,740.386
31-Dec-21,24.11,4.37,1.19,17354.05,719.786
30-Nov-21,23.43,4.25,1.19,16983.2,724.848
29-Oct-21,25.71,4.43,1.13,17671.65,687.345
30-Sep-21,26.98,4.41,1.17,17618.15,653.008
31-Aug-21,26.25,4.33,1.05,17132.2,652.655
30-Jul-21,27.01,4.12,1.18,15763.05,583.601
30-Jun-21,28.33,4.24,1.26,15721.5,554.942
31-May-21,29.22,4.39,1.06,15582.8,533.292
30-Apr-21,32.21,4.19,1,14631.1,454.241
31-Mar-21,33.2,4.2,0.96,14690.7,442.491
26-Feb-21,39.65,4.12,1.09,14529.15,366.435
29-Jan-21,36.57,3.86,1.16,13634.6,372.836
31-Dec-20,38.45,3.96,1.14,13981.75,363.635
27-Nov-20,35.66,3.67,1.22,12968.95,363.683
30-Oct-20,31.9,3.3,1.36,11642.4,364.966
30-Sep-20,32.69,3.19,1.41,11247.55,344.067
31-Aug-20,32.29,3.2,1.46,11387.5,352.663
31-Jul-20,30.2,3.12,1.49,11073.45,366.671
30-Jun-20,26.32,2.94,1.55,10302.1,391.417
29-May-20,22.38,2.73,1.59,9580.3,428.074
30-Apr-20,22.35,2.81,1.54,9859.9,441.159
31-Mar-20,19.38,2.45,1.77,8597.75,443.64
28-Feb-20,25.49,3.15,1.36,11201.75,439.457
31-Jan-20,26.41,3.37,1.27,11962.1,452.938
31-Dec-19,28.3,3.75,1.24,12168.45,429.981
29-Nov-19,28.1,3.72,1.24,12056.05,429.041
31-Oct-19,27.38,3.67,1.26,11877.45,433.8
30-Sep-19,26.44,3.53,1.31,11474.45,433.981
30-Aug-19,27.27,3.35,1.39,11023.25,404.226
31-Jul-19,27.42,3.45,1.33,11118.0,405.47
28-Jun-19,28.98,3.71,1.24,11788.85,406.793
31-May-19,29.49,3.81,1.22,11922.8,404.3
30-Apr-19,29.33,3.76,1.12,11748.15,400.551
29-Mar-19,29.01,3.71,1.13,11623.9,400.686
28-Feb-19,26.32,3.41,1.25,10792.5,410.049
31-Jan-19,26.26,3.37,1.25,10830.95,412.45
31-Dec-18,26.17,3.38,1.24,10862.55,415.076
30-Nov-18,26.31,3.44,1.22,10876.75,413.407
31-Oct-18,25.0,3.29,1.27,10386.6,415.464
28-Sep-18,26.44,3.47,1.23,10930.45,413.406
31-Aug-18,28.4,3.76,1.15,11680.5,411.285
31-Jul-18,28.22,3.7,1.18,11356.5,402.427
29-Jun-18,25.9,3.61,1.22,10714.3,413.68
